"","q","n_total","sub_size","subsample_id","repetition","method","SHD","Precision","Recall","F1_Score"
"337",1000,300,100,1,17,"Frequentist",672,0.6927,0.5932,0.6391
"338",1000,300,100,1,17,"Bayesian",574,0.8285,0.5394,0.6534
"339",1000,300,100,2,17,"Frequentist",666,0.6957,0.5972,0.6427
"340",1000,300,100,2,17,"Bayesian",566,0.8306,0.5474,0.6599
"341",1000,300,100,3,17,"Frequentist",681,0.6793,0.6082,0.6418
"342",1000,300,100,3,17,"Bayesian",584,0.8208,0.5344,0.6473
"343",1000,300,100,1,18,"Frequentist",686,0.663,0.6159,0.6386
"344",1000,300,100,1,18,"Bayesian",559,0.8148,0.5589,0.6631
"345",1000,300,100,2,18,"Frequentist",669,0.6788,0.6077,0.6413
"346",1000,300,100,2,18,"Bayesian",578,0.8095,0.5396,0.6476
"347",1000,300,100,3,18,"Frequentist",680,0.6747,0.5965,0.6332
"348",1000,300,100,3,18,"Bayesian",564,0.8241,0.5427,0.6544
"349",1000,300,100,1,19,"Frequentist",694,0.6659,0.5929,0.6273
"350",1000,300,100,1,19,"Bayesian",590,0.8006,0.534,0.6407
"351",1000,300,100,2,19,"Frequentist",698,0.6633,0.5919,0.6255
"352",1000,300,100,2,19,"Bayesian",583,0.8045,0.5391,0.6456
"353",1000,300,100,3,19,"Frequentist",721,0.6416,0.6071,0.6239
"354",1000,300,100,3,19,"Bayesian",577,0.8009,0.5513,0.653
"355",1000,300,100,1,20,"Frequentist",656,0.6798,0.6066,0.6411
"356",1000,300,100,1,20,"Bayesian",538,0.8365,0.5507,0.6642
"357",1000,300,100,2,20,"Frequentist",637,0.6871,0.6253,0.6547
"358",1000,300,100,2,20,"Bayesian",517,0.8481,0.5663,0.6791
"359",1000,300,100,3,20,"Frequentist",667,0.6701,0.6097,0.6385
"360",1000,300,100,3,20,"Bayesian",536,0.8238,0.5663,0.6712
